# chem_potential	density	num_particles	num_particles_variance
-17.99706549	0.0002505876004	0.5778666667	0.5554034489
-13.46081728	0.1640942508	378.4089778	87.00349273
-12.9548662	0.1879692244	433.4657778	74.68225106
-12.65890379	0.200376799	462.0782222	66.01805906
-12.44891512	0.2080438699	479.7588444	 57.686644
-12.28603525	0.2136491919	492.6849778	57.11142767
-12.15295271	0.2179574407	    502.62	53.77604444
-12.04043303	0.2215634583	510.9356444	53.41061392
-11.94296404	0.2246886145	  518.1424	53.6040778
-11.85699031	0.2274460032	524.5010667	56.17675442
-11.78008418	0.2300197587	530.4362667	57.23544917
-11.71051412	0.2325802544	536.3408889	60.58895032
-11.64700164	0.2348904324	541.6682667	65.30844188
-11.58857581	0.2372558082	547.1229333	68.92079851
-11.53448195	0.2395603584	552.4373333	75.08962844
-11.48412177	0.2418757015	557.7766222	81.94805792
-11.43701297	0.2442321731	563.2107556	88.69522654
-11.39276105	0.2466935285	568.8867556	97.32442014
-11.35103923	0.2491911942	574.6464889	107.0084521
-11.31157377	0.2519081096	580.9118222	115.7984469
-11.2741331	0.2544711493	586.8223111	 131.76816
-10.97817069	0.2917789443	672.8558222	326.1845461
-10.76818202	0.337180977	777.5550222	379.712217
-10.7239301	0.3471827796	800.6196444	363.3578185
-10.68220828	0.3562965593	821.6364444	377.6338718
-10.64274283	0.3653945736	842.6168889	387.1154481
-10.60530215	0.3743118457	863.1805333	401.8826966
-10.5696886	0.3831916512	883.6577778	437.1310617
-10.5357321	0.3921667423	904.3547556	467.1060596
-10.50328529	0.4015866544	926.0775111	500.7899031
-10.47221961	0.4109820897	947.7438222	542.9761507
-10.44242229	0.4211870683	971.2769778	 616.47635
-10.41379379	0.4319279136	996.0458667	672.5422518
-10.38624588	0.4432548509	1022.166311	743.1372295
-10.35969993	0.4557044792	1050.875733	806.9431356
-10.33408561	0.4689296147	1081.373511	915.4823561
-10.30933975	0.4833280521	1114.576978	1008.101497
-10.28540537	0.4985385768	1149.653156	1124.522366
-10.26223094	0.5160629799	1190.065244	1434.328899
-10.23976969	0.7907716702	1823.556267	92.7417674
-10.21797903	0.7918868062	1826.127822	91.20872815
-10.19682006	0.7930663911	  1828.848	91.53298489
-10.17625721	0.7944445266	1832.026044	90.20261058
-10.09935108	0.7982576905	1840.819378	87.65484228
-10.02978102	0.8018821716	 1849.1776	85.38339157
-9.966268536	0.8048569598	 1856.0376	82.4157418
-9.907842714	0.8076934064	1862.578578	77.36524776
-9.853748851	0.8101045749	1868.138844	77.49556666
-9.80338867	0.8125139317	1873.694933	 76.968801
-9.756279866	0.8145585661	1878.409956	73.09878089
-9.712027948	0.8168154735	1883.614489	75.20115896
-9.670306129	0.8184678637	1887.424978	72.17557167
-9.630840674	0.8201403365	1891.281778	69.38389017
   -9.5934	0.8214278503	1894.250844	69.49032151
