# chem_potential	density	num_particles	num_particles_variance
  -17.9971	0.000402068	  0.570938	  0.579827
  -13.4608	   0.22503	   319.543	      32.1
  -12.9549	  0.241586	   343.053	   37.0499
  -12.6589	  0.252924	   359.153	   33.7961
  -12.4489	   0.25966	   368.718	   36.1742
   -12.286	  0.264421	   375.478	   30.6843
   -12.153	  0.268537	   381.324	   32.8659
  -12.0404	  0.273292	   388.076	   42.4943
   -11.943	  0.275981	   391.894	   29.8827
   -11.857	  0.280129	   397.785	   27.5844
  -11.7801	  0.281953	   400.375	   39.7031
  -11.7105	   0.28575	   405.766	   39.8669
   -11.647	  0.289324	   410.841	   46.2288
  -11.5886	   0.29232	   415.095	   65.5465
  -11.5345	  0.295751	   419.967	   50.4907
  -11.4841	  0.298267	   423.541	   86.2811
   -11.437	   0.30156	   428.217	   99.4697
  -11.3928	  0.306091	    434.65	   73.2608
   -11.351	  0.310419	   440.797	   95.1112
  -11.3116	   0.31443	   446.491	   107.653
  -11.2741	  0.318185	   451.825	   156.671
  -10.9782	  0.395539	   561.667	   303.689
  -10.7682	  0.468827	   665.737	   222.247
  -10.6053	  0.527613	   749.212	   651.864
  -10.4722	  0.775954	   1101.86	   60.5986
  -10.3597	   0.78598	    1116.1	    69.229
  -10.2622	  0.789267	   1120.76	   55.1338
  -10.1763	  0.794632	   1128.38	   21.1882
  -10.0994	  0.797516	   1132.48	   48.7256
  -10.0298	  0.797013	   1131.76	   38.4671
  -9.96627	  0.802748	    1139.9	   50.9433
  -9.90784	  0.804223	      1142	      22.4
  -9.85375	  0.805455	   1143.75	   33.7875
  -9.80339	  0.812357	   1153.55	   20.1475
  -9.75628	  0.811019	   1151.65	   34.9275
  -9.71203	  0.812674	      1154	      60.8
  -9.67031	  0.813484	   1155.15	   74.7275
  -9.63084	  0.811617	    1152.5	     26.95
   -9.5934	  0.814751	   1156.95	   81.2475
