# chem_potential	density	num_particles	num_particles_variance
  -17.9971	0.000422328	  0.601067	  0.607252
  -13.4608	  0.230788	   328.462	   39.5263
  -12.9549	  0.248839	   354.153	   34.7294
  -12.6589	  0.258579	   368.015	   33.2352
  -12.4489	  0.265343	   377.642	   32.3718
   -12.286	  0.270456	   384.918	   32.2122
   -12.153	  0.274572	   390.777	   33.3623
  -12.0404	  0.278258	   396.022	   34.0985
   -11.943	  0.281586	   400.759	   38.0521
   -11.857	   0.28476	   405.277	   41.2532
  -11.7801	  0.287957	   409.826	   45.0542
  -11.7105	  0.291035	   414.207	   49.4255
   -11.647	  0.294198	   418.709	   52.7426
  -11.5886	  0.297425	   423.302	   60.9711
  -11.5345	  0.300894	   428.238	   69.2391
  -11.4841	  0.304291	   433.074	   77.1895
   -11.437	  0.307928	    438.25	    86.977
  -11.3928	  0.312128	   444.227	   99.8901
   -11.351	  0.316781	    450.85	   121.588
  -11.3116	  0.321626	   457.745	   135.736
  -11.2741	   0.32679	   465.095	   158.396
  -10.9782	  0.418774	   596.008	   448.838
  -10.7682	  0.482524	   686.738	   262.546
  -10.6053	  0.538955	   767.052	   596.446
  -10.4722	  0.780811	   1111.27	   58.2167
  -10.3597	  0.786371	   1119.18	   54.5566
  -10.2622	  0.791712	   1126.78	   53.8005
  -10.1763	   0.79643	    1133.5	   49.6644
  -10.0994	  0.799137	   1137.35	   46.0923
  -10.0298	  0.802186	   1141.69	   48.8075
  -9.96627	  0.804946	   1145.62	   44.3127
  -9.90784	   0.80826	   1150.33	   43.6082
  -9.85375	   0.80994	   1152.72	   42.7158
  -9.80339	  0.812835	   1156.84	   44.9914
  -9.75628	  0.814178	   1158.76	   42.5656
  -9.71203	  0.815744	   1160.98	    37.927
  -9.67031	  0.818075	    1164.3	   35.3597
  -9.63084	  0.818671	   1165.15	   39.7963
   -9.5934	  0.820106	   1167.19	   41.9292
