# chem_potential	density	num_particles	num_particles_variance
-17.99706549	0.0001316145166	0.2278222222	0.2251637017
-13.46081728	0.08267604905	143.1106667	 59.794064
-12.9548662	0.1036987336	179.5005333	48.06599972
-12.65890379	0.1148879189	  198.8688	47.62260878
-12.44891512	0.1228871853	212.7153778	49.15561241
-12.28603525	0.1291348437	223.5299556	49.31114711
-12.15295271	0.1343039101	232.4775111	48.28949425
-12.04043303	0.1386647001	240.0259556	49.67345964
-11.94296404	0.1423830284	246.4623111	48.50262399
-11.85699031	0.1457386081	252.2707556	49.19691365
-11.78008418	0.1486706385	257.3460444	47.61989769
-11.71051412	0.1513100667	261.9148444	48.59274853
-11.64700164	0.1537358204	266.1137778	48.50652128
-11.58857581	0.1561208521	270.2422222	49.27137284
-11.53448195	0.1581476026	273.7504889	49.15721087
-11.48412177	0.1601572531	277.2291556	50.81859884
-11.43701297	0.1621552467	280.6876444	52.58776734
-11.39276105	0.1638959167	283.7007111	54.14891505
-11.35103923	0.1657797554	  286.9616	55.04599211
-11.31157377	0.1673580512	  289.6936	55.90283015
-11.2741331	0.1689977124	292.5318222	55.9997429
-10.97817069	0.1843158345	  319.0472	77.6926166
-10.76818202	0.1997070302	345.6890667	112.8757649
-10.60530215	0.2176489697	376.7462222	168.6245746
-10.47221961	0.2386211754	413.0487111	227.3787828
-10.35969993	0.2621575278	453.7896889	288.1235915
-10.26223094	0.2864626158	495.8613333	328.5782827
-10.17625721	0.3098727455	536.3838222	370.1805027
-10.09935108	0.3364674023	582.4186667	870.0894293
-10.02978102	0.4486739386	776.6460444	822.4165821
-9.966268536	0.7842396556	1357.503911	164.0908736
-9.907842714	0.7910957808	1369.371733	147.7057254
-9.853748851	0.7974807025	1380.423911	136.1352327
-9.80338867	0.8028227729	1389.670933	130.219004
-9.756279866	0.8076083959	1397.954756	124.3381307
-9.712027948	0.8115200635	1404.725778	116.7684466
-9.670306129	0.8153983525	1411.439022	110.3495706
-9.630840674	0.8190185477	1417.705511	110.8285652
   -9.5934	0.82226824	1423.330667	104.5299484
