# chem_potential	density	num_particles	num_particles_variance
-17.99706549	0.000422194789	1.431377778	1.47177988
-13.46081728	0.1569530299	532.1218667	244.5054152
-12.9548662	0.2080143736	705.2364444	239.0182274
-12.65890379	0.2338085534	792.6871111	194.0338339
-12.44891512	0.2491356951	844.6511111	170.5510765
-12.28603525	0.2598701346	881.0443556	158.272077
-12.15295271	0.2681498508	909.1152889	152.0920418
-12.04043303	0.2750844585	932.6258667	149.8217131
-11.94296404	0.2809256282	952.4293333	150.7818951
-11.85699031	0.2861771462	970.2336889	156.5749895
-11.78008418	0.291036201	986.7074667	159.5566465
-11.71051412	0.2955734251	1002.090133	164.0380982
-11.64700164	0.2998213816	1016.492089	170.5199819
-11.58857581	0.3039358341	1030.441422	180.1491464
-11.53448195	0.3079934189	1044.197956	189.646058
-11.48412177	0.3119116529	1057.482044	204.5346554
-11.43701297	0.3160519305	1071.518933	219.5879526
-11.39276105	0.3201106164	 1085.2792	237.888714
-11.35103923	0.324202993	1099.153689	256.4321131
-11.31157377	0.3285569767	1113.915111	285.7253272
-11.2741331	0.3332847561	1129.943822	327.7052885
-10.97817069	0.6260282727	2122.439644	20726.85169
-10.76818202	0.7727127639	2619.747822	235.1277841
-10.60530215	0.7866624175	2667.041689	202.1937287
-10.47221961	0.796827577	2701.504889	174.0848205
-10.35969993	0.8044455409	2727.332267	159.4161766
-10.26223094	0.8103334318	2747.294133	155.3077078
-10.17625721	0.8154117248	 2764.5112	143.8550301
-10.09935108	0.81992939	2779.827556	142.9190629
-10.02978102	0.8236931452	2792.587911	136.6276939
-9.966268536	0.8273060923	2804.836978	137.7928015
-9.907842714	0.8302211581	   2814.72	124.4876444
-9.853748851	0.8329301474	2823.904356	129.8072077
-9.80338867	0.8353539068	2832.121689	124.7198585
-9.756279866	0.8377226862	2840.152622	126.4182176
-9.712027948	0.8399216228	2847.607733	115.9023935
-9.670306129	0.8418493564	2854.143378	125.820065
-9.630840674	0.8438770083	2861.017778	115.2096395
   -9.5934	0.845462723	2866.393867	112.050469
