# chem_potential	density	num_particles	num_particles_variance
-17.99706549	0.003981098773	7.489155556	7.683126842
-13.46081728	0.6894478885	1296.974222	 198.11098
-12.9548662	0.7458898735	1403.151644	117.164204
-12.65890379	0.7681200572	1444.970578	 92.057001
-12.44891512	0.7812306126	1469.633867	76.36523527
-12.28603525	0.790633137	1487.321689	73.80647181
-12.15295271	0.797720091	1500.653511	69.56136767
-12.04043303	0.8031939187	1510.950756	68.65161943
-11.94296404	0.8077941095	1519.604533	63.82413945
-11.85699031	0.8116623711	1526.881422	62.90469487
-11.78008418	0.8150422391	1533.239556	59.83461314
-11.71051412	0.8181504097	1539.086578	59.35019318
-11.64700164	0.821375292	1545.153156	58.33769893
-11.58857581	0.8231558311	1548.502667	61.88057067
-11.53448195	0.8259055974	1553.675467	 56.296367
-11.48412177	0.8278613932	1557.354667	54.07421156
-11.43701297	0.829618968	1560.660978	56.69110838
-11.39276105	0.8312681001	1563.763289	51.91152341
-11.35103923	0.8333161785	1567.616089	54.33181226
-11.31157377	0.8344424704	1569.734844	50.7187592
-11.2741331	0.8356901046	1572.081867	51.4360534
-10.97817069	0.8466826019	1592.760711	45.76336305
-10.76818202	0.8538010256	1606.151733	47.63395477
-10.60530215	0.8579682961	1613.991111	38.76258765
-10.47221961	0.8617457873	1621.097244	34.23249907
-10.35969993	0.8651030217	 1627.4128	32.68915172
-10.26223094	0.8680969848	1633.044978	39.45219922
-10.17625721	0.8696208527	1635.911644	29.78721552
-10.09935108	0.8719449283	1640.283644	26.32799027
-10.02978102	0.8734297662	1643.076889	26.97373254
-9.966268536	0.8744008834	1644.903733	27.5509994
-9.907842714	0.8762099626	1648.306933	25.5620586
-9.853748851	0.8767610121	1649.343556	31.87245847
-9.80338867	0.8782711297	1652.184356	30.24334636
-9.756279866	0.8784434094	1652.508444	31.40299536
-9.712027948	0.8799204981	1655.287111	19.84716721
-9.670306129	0.8811641632	1657.626667	26.73493333
-9.630840674	0.8806211937	1656.605244	18.45065694
   -9.5934	0.8814628886	1658.188622	22.23748832
