# chem_potential	density	num_particles	num_particles_variance
-17.99706549	0.0001092740496	0.2472888889	0.2389370943
-13.46081728	0.0751924084	  170.1616	73.72997433
-12.9548662	0.09434353009	213.5008889	54.80537699
-12.65890379	0.1041103598	235.6033778	54.38580192
-12.44891512	0.1110352001	  251.2744	55.55732686
-12.28603525	0.1165299722	263.7091556	54.72678729
-12.15295271	0.1211400252	274.1417778	56.20132128
-12.04043303	0.1249731405	282.8161778	56.46594272
-11.94296404	0.1283053705	290.3570667	58.15134784
-11.85699031	0.1311910382	296.8873778	57.04820512
-11.78008418	0.1337838419	302.7549333	55.71105344
-11.71051412	0.1362181943	308.2639111	54.93168426
-11.64700164	0.1384242575	313.2562667	57.13441628
-11.58857581	0.1404355756	317.8079111	57.95021297
-11.53448195	0.1423444935	322.1278222	57.80055037
-11.48412177	0.1441074508	326.1174222	59.37012313
-11.43701297	0.1458147891	329.9811556	61.19964489
-11.39276105	0.1474454156	333.6712889	62.79986012
-11.35103923	0.1490080502	337.2075556	63.16625402
-11.31157377	0.1505700956	340.7424889	64.14639914
-11.2741331	0.1519765571	343.9253333	65.04295822
-10.97817069	0.1655219044	374.5786667	90.56950044
-10.76818202	0.1792139978	405.5640889	127.9719371
-10.60530215	0.1949729104	441.2267556	189.1278708
-10.47221961	0.2130990086	  482.2464	261.033687
-10.35969993	0.232917951	527.0969778	323.0553953
-10.26223094	0.2532415495	  573.0896	366.3747274
-10.17625721	0.2731676057	618.1825778	398.8818654
-10.09935108	0.2927277391	662.4474667	451.0131069
-10.02978102	0.3140756934	710.7582222	589.9280324
-9.966268536	0.4337253966	981.5273778	1150.247828
-9.907842714	0.7159926397	1620.302578	   82512.4
-9.853748851	0.7909822508	1790.005244	203.0452169
-9.80338867	0.7970524596	1803.742222	190.6768395
-9.756279866	0.8023307262	1815.687022	173.8408005
-9.712027948	0.8068825285	1825.987822	167.5768295
-9.670306129	0.8110484543	1835.415378	161.0618613
-9.630840674	0.8148073323	1843.921778	151.470148
   -9.5934	0.8181308817	1851.443022	143.9939535
