# chem_potential	density	num_particles	num_particles_variance
-17.99706549	9.365026333e-05	0.2710222222	0.2750802884
-13.46081728	0.06904389468	199.8118222	87.78227801
-12.9548662	0.08668254859	250.8577778	64.71506173
-12.65890379	0.0954709301	  276.2912	61.89991367
-12.44891512	0.1016424487	294.1514667	61.85705785
-12.28603525	0.1065133374	308.2477333	61.60840597
-12.15295271	0.110444007	319.6230222	61.20659887
-12.04043303	0.113891897	329.6011556	63.14145644
-11.94296404	0.1168409742	338.1357333	63.98682091
-11.85699031	0.119471536	345.7485333	65.60583118
-11.78008418	0.1217773167	352.4214222	65.40666998
-11.71051412	0.1239974945	358.8465778	64.07850607
-11.64700164	0.1258991262	364.3498667	66.79581554
-11.58857581	0.1277492794	369.7041778	66.11800032
-11.53448195	0.1294834219	374.7227556	67.71895774
-11.48412177	0.1310603338	379.2863111	68.0279815
-11.43701297	0.1326029677	383.7506667	68.61685511
-11.39276105	0.134054685	387.9519111	69.90870968
-11.35103923	0.1354690528	392.0450667	71.48908011
-11.31157377	0.1368170146	395.9460444	75.48535546
-11.2741331	0.13814237	  399.7816	75.36839033
-10.97817069	0.150285237	434.9228444	102.4169804
-10.76818202	0.1625767036	470.4941333	151.1607211
-10.60530215	0.1768424429	511.7789333	219.3800184
-10.47221961	0.1930775101	558.7629333	290.394555
-10.35969993	0.2106200565	609.5307556	358.4010541
-10.26223094	0.2281970038	660.3981333	406.2691343
-10.17625721	0.2454359318	710.2872889	443.2742651
-10.09935108	0.2624385686	759.4926222	483.6597233
-10.02978102	0.2801029003	810.6128889	597.2564561
-9.966268536	0.3002351576	868.8752889	778.7502249
-9.907842714	0.427025236	1235.803556	1587.72781
-9.853748851	0.4742988077	1372.612444	2212.902067
-9.80338867	0.7917791898	2291.395111	272.4148205
-9.756279866	0.7976998584	2308.529422	255.3710899
-9.712027948	0.8030581953	2324.036356	231.1996561
-9.670306129	0.8074671293	2336.795733	219.5024529
-9.630840674	0.8112585982	2347.768178	210.1094585
   -9.5934	0.814724948	2357.799733	200.7838044
