# chem_potential	density	num_particles	num_particles_variance
-17.99706549	4.081073783e-05	0.4402666667	0.4419874844
-13.46081728	0.0438251295	472.7859556	272.4116072
-12.9548662	0.05674953504	612.2145778	154.0460453
-12.65890379	0.06202091789	669.0823111	131.2703804
-12.44891512	0.06542502615	705.8058667	123.0720011
-12.28603525	0.06799539403	733.5350222	123.852329
-12.15295271	0.07009974662	  756.2368	125.5156591
-12.04043303	0.07192897898	775.9705778	128.7647343
-11.94296404	0.07349731264	792.8897778	132.5368288
-11.85699031	0.07494122011	808.4666667	130.6789333
-11.78008418	0.07624097578	822.4884444	138.7693331
-11.71051412	0.07742044154	835.2125333	138.8377629
-11.64700164	0.0785173877	  847.0464	140.1048693
-11.58857581	0.07957070518	  858.4096	139.7003167
-11.53448195	0.08048359516	868.2578667	142.1040826
-11.48412177	0.08144659015	878.6466667	143.0245778
-11.43701297	0.08231073466	887.9690667	145.0930876
-11.39276105	0.08314516717	896.9709333	151.9901774
-11.35103923	0.08394131026	905.5597333	153.5418986
-11.31157377	0.0847348002	914.1199111	158.741088
-11.2741331	0.08546404598	921.9870222	161.1982316
-10.97817069	0.09245537113	997.4095111	225.4003895
-10.76818202	0.09973939983	1075.989689	339.746027
-10.60530215	0.1087269823	1172.947822	542.7187886
-10.47221961	0.119654562	1290.834667	730.0114204
-10.35969993	0.1309001656	1412.152356	808.8125211
-10.26223094	0.1412310911	1523.602489	856.9822516
-10.17625721	0.1508027788	1626.861956	879.1748104
-10.09935108	0.1602113142	1728.361333	1001.718594
-10.02978102	0.169735517	1831.108533	1189.220843
-9.966268536	0.1803853069	1945.998578	1411.151287
-9.907842714	0.1924476937	2076.127733	1776.431595
-9.853748851	0.2060062518	 2222.3976	2181.901736
-9.80338867	0.221388357	2388.339911	2637.380994
-9.756279866	0.2398462141	2587.463467	3525.832132
-9.712027948	0.2645917839	2854.418933	5620.62085
-9.670306129	0.4867204524	5250.745333	19822.82501
-9.630840674	0.7999276197	8629.627531	1220.193236
   -9.5934	0.8047436038	8681.582418	1030.201471
