# chem_potential	density	num_particles	num_particles_variance
-17.99706549	0.0001415752077	0.1835555556	0.1823962469
-13.46081728	0.09097718833	117.9540444	32.25362142
-12.9548662	0.1072547036	139.0582222	29.70692128
-12.65890379	0.1165918113	   151.164	 30.770704
-12.44891512	0.1234314365	160.0317333	30.77330411
-12.28603525	0.1288072493	  167.0016	 31.913953
-12.15295271	0.1333393014	172.8775111	31.50712981
-12.04043303	0.1371805487	177.8577778	32.06226173
-11.94296404	0.1405892547	182.2772444	33.14580218
-11.85699031	0.1434775946	186.0220444	34.06529182
-11.78008418	0.1462909305	  189.6696	34.99670251
-11.71051412	 0.1489123	193.0682667	35.92031744
-11.64700164	0.1514270597	196.3287111	37.16786012
-11.58857581	0.1535960055	  199.1408	39.33733092
-11.53448195	0.1560189641	202.2822222	40.20008395
-11.48412177	0.1580481173	204.9130667	42.37750926
-11.43701297	0.1602575818	207.7776889	43.42213333
-11.39276105	0.162419946	210.5812444	46.2997549
-11.35103923	0.1645393235	213.3290667	49.09189291
-11.31157377	0.1665354996	215.9171556	51.04309235
-11.2741331	0.168745924	218.7830222	55.23763176
-10.97817069	0.1912576846	247.9700444	96.45056933
-10.76818202	0.2156851327	  279.6408	120.5668865
-10.7239301	0.2214441927	287.1075556	123.458654
-10.68220828	0.2269281238	  294.2176	124.1958502
-10.64274283	0.2321978067	301.0498667	125.3728911
-10.60530215	0.2372371985	307.5835556	129.270574
-10.5696886	0.2422858459	314.1292444	132.6828514
-10.5357321	0.2469779842	320.2127111	136.2974206
-10.50328529	0.2518586609	326.5406222	143.8151054
-10.47221961	0.2566897692	332.8042667	146.869244
-10.44242229	0.2614650015	338.9954667	154.6484239
-10.41379379	0.2663565107	345.3374222	163.5369907
-10.38624588	0.2712305371	351.6567111	174.0049972
-10.35969993	0.2758929892	357.7016889	181.7867438
-10.33408561	0.2811318204	364.4939556	190.3393857
-10.30933975	0.286090792	370.9233778	197.808529
-10.28540537	0.2913775462	377.7777778	214.7107951
-10.26223094	0.2966960434	384.6733333	218.4039556
-10.23976969	0.3020498487	391.6146667	231.5993404
-10.21797903	0.307438208	  398.6008	247.7841949
-10.19682006	0.3131045071	405.9472889	253.2826438
-10.17625721	0.319063555	413.6733333	264.0076889
-10.09935108	0.3426658219	444.2742222	324.0184022
-10.02978102	0.5374735134	696.8469333	43517.39328
-9.966268536	0.6990695809	    906.36	120.2296889
-9.907842714	0.706304931	  915.7408	108.717882
-9.853748851	0.7121869181	923.3669333	98.43780437
-9.80338867	0.7171641265	    929.82	90.92644444
-9.756279866	0.7215269053	935.4764444	84.25406736
-9.712027948	0.7253891319	940.4839111	78.33667448
-9.670306129	0.7290610374	945.2446222	75.18798219
-9.630840674	0.7320604436	949.1334222	71.7662874
   -9.5934	0.7347745055	952.6522667	68.31677042
