# chem_potential	density	num_particles	num_particles_variance
-17.99706549	0.0001699497727	0.4878222222	0.4898517017
-13.46081728	0.1857510758	533.1781333	123.5208018
-12.9548662	0.2075343136	595.7045333	67.01012167
-12.65890379	0.2161012624	620.2950222	56.71642856
-12.44891512	0.2215049715	635.8057778	50.63401106
-12.28603525	0.2254149311	647.0288889	51.5162321
-12.15295271	0.2286035642	656.1815111	50.66287594
-12.04043303	0.2314566022	664.3708444	54.18994106
-11.94296404	0.233907403	  671.4056	54.89851086
-11.85699031	0.2362594174	  678.1568	58.12688043
-11.78008418	0.2380844575	683.3953778	59.87745419
-11.71051412	0.2402884472	689.7216889	64.56156515
-11.64700164	0.2422848925	695.4522667	69.58443264
-11.58857581	0.2441304331	700.7496889	74.7408999
-11.53448195	0.2463638728	707.1605333	79.27022905
-11.48412177	0.248270853	712.6343111	85.86876053
-11.43701297	0.2504196275	718.8021333	94.15942656
-11.39276105	0.2525196902	724.8301333	101.3806564
-11.35103923	0.2546008007	730.8037333	114.8125016
-11.31157377	0.2568749938	737.3315556	120.3128265
-11.2741331	0.2591998806	744.0048889	138.6183761
-10.97817069	0.2935348753	842.5597333	425.0611875
-10.76818202	0.3582812794	 1028.4072	705.2504548
-10.7239301	0.3723406902	 1068.7632	637.7208146
-10.68220828	0.3837822924	1101.605067	594.0807388
-10.64274283	0.3939932451	1130.914489	512.7270878
-10.60530215	0.4032526277	1157.492533	461.4874554
-10.5696886	0.4109419878	  1179.564	433.9241262
-10.5357321	0.4186834973	1201.785156	477.5573085
-10.50328529	0.4259180064	1222.551022	516.546419
-10.47221961	0.4342129365	1246.360711	556.1331764
-10.44242229	0.443108172	1271.893511	664.1234157
-10.41379379	0.4531403802	1300.689867	789.9234618
-10.38624588	0.4637234386	1331.067378	950.6767047
-10.35969993	0.4783890697	1373.163467	1198.612479
-10.33408561	0.4938279599	1417.479111	1385.488319
-10.30933975	0.5107890896	1466.164178	1560.521935
-10.28540537	0.5285988534	1517.285156	1602.475664
-10.26223094	0.5490413832	 1575.9632	1766.506201
-10.23976969	0.5693673823	1634.306756	2219.342257
-10.21797903	0.8061446696	2313.950044	124.3528822
-10.19682006	0.8075762982	2318.059378	115.4202965
-10.17625721	0.8082510806	2319.996267	110.1420305
-10.09935108	0.8133675659	2334.682578	112.5914209
-10.02978102	0.8168733993	2344.745689	109.663237
-9.966268536	0.8200045567	2353.733333	121.3457778
-9.907842714	0.8233268455	 2363.2696	103.6482936
-9.853748851	0.8258231686	2370.435022	97.26017789
-9.80338867	0.8280618729	2376.860978	88.02458393
-9.756279866	0.8305621289	2384.037689	96.66595733
-9.712027948	0.8322773271	2388.960978	98.96158838
-9.670306129	0.8340599107	2394.077689	96.66205333
-9.630840674	0.8358076868	2399.094489	101.0316941
   -9.5934	0.8377097122	2404.554044	96.47499031
