# chem_potential	density	num_particles	num_particles_variance
-17.99706549	7.819832615e-05	    0.5832	0.5908110933
-13.46081728	0.1130037206	842.7772444	637.4762466
-12.9548662	0.1468002958	1094.830756	205.0703785
-12.65890379	0.1562137605	  1165.036	143.4423484
-12.44891512	0.1613117645	1203.056711	127.5987394
-12.28603525	0.1648678516	1229.577867	111.2711368
-12.15295271	0.1676910483	1250.633156	105.1762696
-12.04043303	0.1700113611	1267.937956	110.1156172
-11.94296404	0.1719173455	1282.152711	111.0195238
-11.85699031	0.1737528071	1295.841511	111.3845702
-11.78008418	0.1753247592	1307.565067	117.3254108
-11.71051412	0.1767631269	1318.292356	118.3786171
-11.64700164	0.1783017066	1329.767022	126.3650102
-11.58857581	0.1796240343	1339.628889	128.3807654
-11.53448195	0.1810356207	1350.156444	133.5934807
-11.48412177	0.1822564609	1359.261422	149.2777029
-11.43701297	0.1835168473	1368.661333	156.0191716
-11.39276105	0.1848692814	1378.747733	163.5783171
-11.35103923	0.1861829203	 1388.5448	171.8238152
-11.31157377	0.1873146567	1396.985244	185.1210267
-11.2741331	0.1886703327	1407.095822	190.086107
-10.97817069	0.2033744427	1516.758489	410.9175835
-10.76818202	0.2297400435	1713.392089	1104.316577
-10.60530215	0.2737344862	2041.500889	1569.800221
-10.47221961	0.3088097667	2303.090933	1154.750576
-10.35969993	0.3309899752	2468.510044	1154.177721
-10.26223094	0.3542255215	2641.799822	1559.649173
-10.17625721	0.391120102	2916.958133	3129.653092
-10.09935108	0.4393261103	3276.476622	3451.500831
-10.02978102	0.4996432051	3726.319111	7708.931946
-9.966268536	0.8249244761	6152.253867	425.843285
-9.907842714	0.8278844275	6174.329067	293.2554485
-9.853748851	0.8313315423	6200.037511	343.648904
-9.80338867	0.8336469564	6217.305778	305.2659666
-9.756279866	0.8355861343	6231.768089	294.5944839
-9.712027948	0.8385788621	6254.087733	266.1747918
-9.670306129	0.8403940263	6267.625156	305.5077583
-9.630840674	0.8431190967	6287.948622	258.8954937
   -9.5934	0.8455159987	6305.824622	400.6359982
