# chem_potential	density	num_particles	num_particles_variance
-17.99706549	0.0003896995996	0.5552888889	0.5585875832
-13.46081728	0.2449599781	  349.0472	40.4990166
-12.9548662	0.2609753404	371.8677333	28.3803722
-12.65890379	0.2687309051	382.9187556	27.01366601
-12.44891512	0.2740191418	390.4540444	25.4677992
-12.28603525	0.2782098317	396.4254222	27.54186038
-12.15295271	0.2818351546	  401.5912	 29.183727
-12.04043303	0.2850266739	406.1388444	31.58445555
-11.94296404	0.2880429625	  410.4368	33.20049465
-11.85699031	0.2909747861	  414.6144	38.03744597
-11.78008418	0.293956328	418.8628444	40.81949946
-11.71051412	0.2968287017	422.9557333	45.04870713
-11.64700164	0.2996746254	427.0109333	49.68476935
-11.58857581	0.3028354528	431.5148444	56.64355742
-11.53448195	0.3059236054	  435.9152	62.94569785
-11.48412177	0.3090914196	440.4290667	73.1895018
-11.43701297	0.3125768199	445.3954667	81.02076167
-11.39276105	0.316404572	450.8496889	92.97856213
-11.35103923	0.3206839066	456.9473778	109.3986531
-11.31157377	0.3250219424	463.1287111	126.6038779
-11.2741331	0.3299446213	470.1431111	146.0451192
-10.97817069	0.4112833555	586.0439111	378.2775385
-10.76818202	0.4704962353	670.4172444	241.2792404
-10.7239301	0.4811307238	685.5704889	245.8359646
-10.68220828	0.4916414466	700.5473778	275.9369998
-10.64274283	0.5029656292	716.6833778	319.4947726
-10.60530215	0.5163283267	735.7240889	421.7430731
-10.5696886	0.5325477401	758.8353778	568.0555662
-10.5357321	0.5551010352	790.9719111	813.7161888
-10.50328529	0.76948335	1096.448533	59.49641785
-10.47221961	0.7713573016	1099.118756	59.44580823
-10.44242229	0.7729418638	1101.376622	56.62340015
-10.41379379	0.774532976	1103.643822	56.10718184
-10.38624588	0.7760411827	1105.792889	56.13150499
-10.35969993	0.7773979262	1107.726133	53.02108594
-10.33408561	0.7787814938	 1109.6976	53.26179868
-10.30933975	0.7800763545	1111.542667	54.53617956
-10.28540537	0.7812875611	1113.268533	52.81953429
-10.26223094	0.782403261	1114.858311	49.89565759
-10.23976969	0.7834392369	1116.334489	51.06296163
-10.21797903	0.7842545056	1117.496178	49.16340761
-10.19682006	0.7856056348	1119.421422	49.49715887
-10.17625721	0.7865311323	1120.740178	49.57222575
-10.09935108	0.7898615137	1125.485689	49.44428408
-10.02978102	0.7931898365	1130.228267	46.63251655
-9.966268536	0.7960836695	1134.351733	44.26606144
-9.907842714	0.7984577991	1137.734667	43.66444267
-9.853748851	0.8006807773	1140.902222	42.24626173
-9.80338867	0.8025897876	 1143.6224	42.30755157
-9.756279866	0.8045604312	 1146.4304	41.67324473
-9.712027948	0.8063282712	1148.949422	41.58686411
-9.670306129	0.8079742795	1151.294844	41.06942231
-9.630840674	0.8093823633	1153.301244	40.82791845
   -9.5934	0.8109606248	1155.550133	38.53246443
