# chem_potential	density	num_particles	num_particles_variance
-17.99706549	0.000718746092	0.5042666667	0.5054484622
-13.46081728	0.3090961677	216.8594667	19.21002816
-12.9548662	0.3258100234	228.5857778	15.35535328
-12.65890379	0.3344785599	234.6675556	15.63632514
-12.44891512	0.3409897179	239.2357333	16.44149646
-12.28603525	0.346454494	243.0697778	18.07770884
-12.15295271	0.3512390397	246.4265778	20.52336473
-12.04043303	0.3560109157	249.7744889	23.54354474
-11.94296404	0.3607756968	253.1174222	27.02790091
-11.85699031	0.3656941601	256.5681778	32.14792957
-11.78008418	0.3709858696	  260.2808	37.96035136
-11.71051412	0.376731784	264.3120889	46.21308941
-11.64700164	0.3829505278	268.6751111	54.23391388
-11.58857581	0.3897829866	273.4687111	67.88848767
-11.53448195	0.3980258248	279.2518222	83.37863001
-11.48412177	0.4061585641	284.9576889	103.3126987
-11.43701297	0.4170409856	292.5927111	125.0001602
-11.39276105	0.4303037704	301.8977778	158.1463506
-11.35103923	0.4439623534	311.4805333	179.2007322
-11.31157377	0.4595699001	322.4306667	192.4471484
-11.2741331	0.4722781368	331.3466667	197.7271111
-10.97817069	0.565537501	396.7767111	159.4155643
-10.76818202	0.7672076708	538.2669333	31.62501326
-10.60530215	0.7763330729	544.6692444	27.28766743
-10.47221961	0.782272452	548.8362667	24.3363914
-10.35969993	0.7873799456	552.4196444	23.5178541
-10.26223094	0.7924328333	555.9647111	22.36293247
-10.17625721	0.7960574776	558.5077333	21.54985131
-10.09935108	0.7992765681	560.7662222	20.43992573
-10.02978102	0.8028706787	563.2878222	21.05458059
-9.966268536	0.8042866325	564.2812444	19.25476823
-9.907842714	0.8075001485	566.5358222	18.85831677
-9.853748851	0.809273765	567.7801778	18.38216708
-9.80338867	0.8115019666	569.3434667	18.46763065
-9.756279866	0.8130291595	570.4149333	17.72703033
-9.712027948	0.8145296196	571.4676444	18.23010867
-9.670306129	0.8161636171	572.6140444	18.2775272
-9.630840674	0.8170715203	573.2510222	18.46445451
   -9.5934	0.8188260057	574.4819556	15.9680744
