# chem_potential	density	num_particles	num_particles_variance
-17.99706549	4.484984949e-05	     0.552	0.5568071111
-13.46081728	0.06031589759	   742.352	1507.34134
-12.9548662	0.1158299652	1425.604356	477.1155544
-12.65890379	0.1277592018	1572.426222	273.3144235
-12.44891512	0.1334501927	1642.469422	220.7064872
-12.28603525	0.1372214945	 1688.8856	213.5935793
-12.15295271	0.1400270223	1723.415289	183.3167796
-12.04043303	0.1422309194	1750.540267	176.2533564
-11.94296404	0.1441280174	1773.889244	184.1587554
-11.85699031	0.1456945772	1793.170044	168.943796
-11.78008418	0.1472293159	 1812.0592	170.9932954
-11.71051412	0.1484364485	1826.916267	168.9744998
-11.64700164	0.1498104789	1843.827467	176.6840989
-11.58857581	0.1509149624	1857.421156	187.3511613
-11.53448195	0.1520632991	1871.554578	188.1757324
-11.48412177	0.1531869576	1885.384267	192.1718947
-11.43701297	0.1541668004	1897.443911	203.4774318
-11.39276105	0.1551892831	1910.028356	206.2910182
-11.35103923	0.156246714	1923.042933	222.9596678
-11.31157377	0.15725793	1935.488711	228.0306726
-11.2741331	0.1581906191	  1946.968	247.6459093
-10.97817069	0.1689043671	2078.829956	438.5507293
-10.76818202	0.1839347072	2263.819378	947.9734201
-10.60530215	0.2112971743	2600.589333	2260.747264
-10.47221961	0.2492944651	3068.249867	2212.891789
-10.35969993	0.2738602082	3370.598489	1760.522967
-10.26223094	0.2924002621	3598.784533	1796.758374
-10.17625721	0.3133856294	3857.066844	2940.019887
-10.09935108	0.3483257205	4287.100178	4775.130498
-10.02978102	0.3907722536	 4809.5208	5699.039078
-9.966268536	0.4403568028	5419.794222	7060.219611
-9.907842714	0.7713558781	9493.642667	1304815.795
-9.853748851	0.8300833111	10216.44427	495.061116
-9.80338867	0.8324780908	10245.91858	461.9267038
-9.756279866	0.8362172971	10291.93973	484.9160124
-9.712027948	0.8383366656	10318.02436	591.6859846
-9.670306129	0.8404388308	10343.89724	445.9739746
-9.630840674	0.8423999536	10368.03422	313.0894066
   -9.5934	0.8450229982	10400.31796	380.2211265
