# chem_potential	density	num_particles	num_particles_variance
-17.99706549	8.479095369e-05	0.5242666667	0.5329666844
-13.46081728	0.1235001949	763.6078222	540.9827299
-12.9548662	0.156600237	968.2670222	174.2876325
-12.65890379	0.1660687183	1026.811111	120.5007654
-12.44891512	0.1713939582	1059.737333	108.9611396
-12.28603525	0.1752017304	1083.280978	103.4187404
-12.15295271	0.1781557995	1101.546133	97.48289394
-12.04043303	0.1805547165	1116.378756	97.30463312
-11.94296404	0.1826774806	1129.503911	98.8963847
-11.85699031	0.1845167887	1140.876444	101.2138896
-11.78008418	0.1863138164	1151.987556	103.2144229
-11.71051412	0.1878516695	1161.496178	107.8007409
-11.64700164	0.1894570766	1171.422489	109.0221254
-11.58857581	0.1909527499	1180.670311	112.1075719
-11.53448195	0.1922654426	1188.786756	123.9576379
-11.48412177	0.1937131713	1197.738133	130.1863592
-11.43701297	0.1950227732	1205.835467	142.2478621
-11.39276105	0.1965278054	1215.141156	142.8323418
-11.35103923	0.1978912462	1223.571378	153.6116608
-11.31157377	0.1993215077	1232.414756	171.2254889
-11.2741331	0.2007740236	1241.395733	181.1246396
-10.97817069	0.218032663	1348.106756	394.4884255
-10.76818202	0.2494049996	1542.083467	1074.744233
-10.7239301	0.2610620306	1614.159467	1247.854037
-10.68220828	0.273390963	1690.389867	1424.09636
-10.64274283	0.2863931052	1770.782756	1413.854672
-10.60530215	0.2982584189	1844.146578	1312.088471
-10.5696886	0.3075022286	1901.301511	1169.149624
-10.5357321	0.3162311252	1955.272711	1097.294873
-10.50328529	0.3238189236	2002.188444	1014.664755
-10.47221961	0.3301866983	2041.560711	928.7661364
-10.44242229	0.3366048617	2081.244533	910.7289146
-10.41379379	0.3422985498	2116.448889	948.7734321
-10.38624588	0.3485793484	2155.283378	934.0437859
-10.35969993	0.3534313088	2185.283289	1002.399659
-10.33408561	0.3595977589	2223.410756	1108.149591
-10.30933975	0.3662521236	2264.555022	1308.697995
-10.28540537	0.3732415262	2307.770844	1384.046154
-10.26223094	0.3811963207	2356.955733	1599.992707
-10.23976969	0.3904263868	2414.025689	1994.720496
-10.21797903	0.4007760586	2478.018222	2432.751757
-10.19682006	0.4111836378	 2542.3688	2680.433142
-10.17625721	0.4252416128	2629.289956	2894.208548
-10.09935108	0.4784473324	2958.263556	3373.135427
-10.02978102	0.569759527	3522.851378	9412.313556
-9.966268536	0.8239587233	 5094.5776	237.9136671
-9.907842714	0.8269239052	5112.911467	222.8099396
-9.853748851	0.8301988084	5133.160356	228.0350861
-9.80338867	0.8331872079	5151.637778	212.4639062
-9.756279866	0.8354059621	5165.356444	232.7525918
-9.712027948	0.8373373355	5177.298222	234.420308
-9.670306129	0.8407686664	5198.514311	184.4025063
-9.630840674	0.8416295577	5203.837244	271.958844
   -9.5934	0.843698526	5216.629778	237.1005355
